 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,7,7,37.000,231.000,37.000,231.000,0,0.000,1,0.000,0.000,NaN
2,0,13,13,307.500,211.500,307.500,211.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,334.500,171.500,334.500,171.500,0,0.000,1,0.000,0.000,NaN
4,0,13,13,336.500,212.500,336.500,212.500,0,0.000,1,0.000,0.000,NaN
5,0,4,4,505.500,220.500,505.500,220.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,599.500,212.500,599.500,212.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,523.500,241.500,523.500,241.500,0,0.000,1,0.000,0.000,NaN
8,0,12,12,499.500,233.500,499.500,233.500,0,0.000,1,0.000,0.000,NaN
9,0,11,11,389.500,238.500,389.500,238.500,0,0.000,1,0.000,0.000,NaN
10,0,1,1,363.500,240.500,363.500,240.500,0,0.000,1,0.000,0.000,NaN
11,0,4,4,270.500,243.500,270.500,243.500,0,0.000,1,0.000,0.000,NaN
12,0,9,9,250.500,239.500,250.500,239.500,0,0.000,1,0.000,0.000,NaN
13,0,9,9,217.500,235.500,217.500,235.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,206.500,241.500,206.500,241.500,0,0.000,1,0.000,0.000,NaN
