 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,38.000,206.000,38.000,206.000,0,0.000,1,0.000,0.000,NaN
2,0,4,4,340.500,180.500,340.500,180.500,0,0.000,1,0.000,0.000,NaN
3,0,11,11,392.500,143.500,392.500,143.500,0,0.000,1,0.000,0.000,NaN
4,0,11,11,396.500,181.500,396.500,181.500,0,0.000,1,0.000,0.000,NaN
5,0,11,11,487.500,187.500,487.500,187.500,0,0.000,1,0.000,0.000,NaN
6,0,11,11,597.500,181.500,597.500,181.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,589.500,210.500,589.500,210.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,527.500,231.500,527.500,231.500,0,0.000,1,0.000,0.000,NaN
9,0,13,13,333.500,222.500,333.500,222.500,0,0.000,1,0.000,0.000,NaN
10,0,11,11,294.500,233.500,294.500,233.500,0,0.000,1,0.000,0.000,NaN
11,0,5,5,184.500,227.500,184.500,227.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,143.500,223.500,143.500,223.500,0,0.000,1,0.000,0.000,NaN
13,0,11,11,83.500,218.500,83.500,218.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,65.500,223.500,65.500,223.500,0,0.000,1,0.000,0.000,NaN
