 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,14,14,46.000,199.000,46.000,199.000,0,0.000,1,0.000,0.000,NaN
2,0,13,13,349.500,161.500,349.500,161.500,0,0.000,1,0.000,0.000,NaN
3,0,8,8,406.500,134.500,406.500,134.500,0,0.000,1,0.000,0.000,NaN
4,0,14,14,392.500,165.500,392.500,165.500,0,0.000,1,0.000,0.000,NaN
5,0,14,14,483.500,173.500,483.500,173.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,597.500,166.500,597.500,166.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,529.500,215.500,529.500,215.500,0,0.000,1,0.000,0.000,NaN
8,0,3,3,479.500,195.500,479.500,195.500,0,0.000,1,0.000,0.000,NaN
9,0,6,6,335.500,208.500,335.500,208.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,300.500,216.500,300.500,216.500,0,0.000,1,0.000,0.000,NaN
11,0,6,6,192.500,215.500,192.500,215.500,0,0.000,1,0.000,0.000,NaN
12,0,1,1,158.500,220.500,158.500,220.500,0,0.000,1,0.000,0.000,NaN
13,0,14,14,98.500,208.500,98.500,208.500,0,0.000,1,0.000,0.000,NaN
14,0,7,7,80.500,210.500,80.500,210.500,0,0.000,1,0.000,0.000,NaN
