 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,11,11,41.000,202.000,41.000,202.000,0,0.000,1,0.000,0.000,NaN
2,0,11,11,241.500,175.500,241.500,175.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,280.500,132.500,280.500,132.500,0,0.000,1,0.000,0.000,NaN
4,0,11,11,281.500,178.500,281.500,178.500,0,0.000,1,0.000,0.000,NaN
5,0,11,11,465.500,199.500,465.500,199.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,601.500,164.500,601.500,164.500,0,0.000,1,0.000,0.000,NaN
7,0,1,1,514.500,262.500,514.500,262.500,0,0.000,1,0.000,0.000,NaN
8,0,8,8,461.500,219.500,461.500,219.500,0,0.000,1,0.000,0.000,NaN
9,0,11,11,349.500,225.500,349.500,225.500,0,0.000,1,0.000,0.000,NaN
10,0,11,11,319.500,229.500,319.500,229.500,0,0.000,1,0.000,0.000,NaN
11,0,9,9,189.500,227.500,189.500,227.500,0,0.000,1,0.000,0.000,NaN
12,0,11,11,159.500,226.500,159.500,226.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,105.500,217.500,105.500,217.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,88.500,222.500,88.500,222.500,0,0.000,1,0.000,0.000,NaN
