 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,3,3,33.000,224.000,33.000,224.000,0,0.000,1,0.000,0.000,NaN
2,0,12,12,198.500,189.500,198.500,189.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,243.500,151.500,243.500,151.500,0,0.000,1,0.000,0.000,NaN
4,0,8,8,252.500,198.500,252.500,198.500,0,0.000,1,0.000,0.000,NaN
5,0,3,3,493.500,212.500,493.500,212.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,603.500,200.500,603.500,200.500,0,0.000,1,0.000,0.000,NaN
7,0,0,0,515.500,239.500,515.500,239.500,0,0.000,1,0.000,0.000,NaN
8,0,12,12,480.500,228.500,480.500,228.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,283.500,235.500,283.500,235.500,0,0.000,1,0.000,0.000,NaN
10,0,10,10,255.500,240.500,255.500,240.500,0,0.000,1,0.000,0.000,NaN
11,0,12,12,152.500,236.500,152.500,236.500,0,0.000,1,0.000,0.000,NaN
12,0,12,12,127.500,234.500,127.500,234.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,81.500,230.500,81.500,230.500,0,0.000,1,0.000,0.000,NaN
14,0,12,12,68.500,232.500,68.500,232.500,0,0.000,1,0.000,0.000,NaN
