 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,12,12,35.000,201.000,35.000,201.000,0,0.000,1,0.000,0.000,NaN
2,0,1,1,290.500,195.500,290.500,195.500,0,0.000,1,0.000,0.000,NaN
3,0,9,9,326.500,155.500,326.500,155.500,0,0.000,1,0.000,0.000,NaN
4,0,15,15,322.500,197.500,322.500,197.500,0,0.000,1,0.000,0.000,NaN
5,0,7,7,485.500,204.500,485.500,204.500,0,0.000,1,0.000,0.000,NaN
6,0,3,3,588.500,203.500,588.500,203.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,538.500,224.500,538.500,224.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,492.500,218.500,492.500,218.500,0,0.000,1,0.000,0.000,NaN
9,0,7,7,358.500,224.500,358.500,224.500,0,0.000,1,0.000,0.000,NaN
10,0,6,6,330.500,224.500,330.500,224.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,239.500,222.500,239.500,222.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,225.500,224.500,225.500,224.500,0,0.000,1,0.000,0.000,NaN
13,0,13,13,190.333,217.500,190.333,217.500,0,0.000,1,0.000,0.000,NaN
14,0,13,13,187.500,219.667,187.500,219.667,0,0.000,1,0.000,0.000,NaN
