 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,31.000,223.000,31.000,223.000,0,0.000,1,0.000,0.000,NaN
2,0,12,12,256.500,189.500,256.500,189.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,295.500,160.500,295.500,160.500,0,0.000,1,0.000,0.000,NaN
4,0,9,9,313.500,191.500,313.500,191.500,0,0.000,1,0.000,0.000,NaN
5,0,13,13,490.500,209.500,490.500,209.500,0,0.000,1,0.000,0.000,NaN
6,0,9,9,610.500,164.500,610.500,164.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,535.500,262.500,535.500,262.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,486.500,230.500,486.500,230.500,0,0.000,1,0.000,0.000,NaN
9,0,1,1,398.500,235.500,398.500,235.500,0,0.000,1,0.000,0.000,NaN
10,0,0,0,378.500,240.500,378.500,240.500,0,0.000,1,0.000,0.000,NaN
11,0,8,8,204.500,243.500,204.500,243.500,0,0.000,1,0.000,0.000,NaN
12,0,6,6,179.500,246.500,179.500,246.500,0,0.000,1,0.000,0.000,NaN
13,0,4,4,109.500,238.500,109.500,238.500,0,0.000,1,0.000,0.000,NaN
14,0,9,9,87.500,243.500,87.500,243.500,0,0.000,1,0.000,0.000,NaN
