 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,9,9,34.000,219.000,34.000,219.000,0,0.000,1,0.000,0.000,NaN
2,0,2,2,183.500,186.500,183.500,186.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,298.500,165.500,298.500,165.500,0,0.000,1,0.000,0.000,NaN
4,0,4,4,348.500,195.500,348.500,195.500,0,0.000,1,0.000,0.000,NaN
5,0,15,15,496.500,202.500,496.500,202.500,0,0.000,1,0.000,0.000,NaN
6,0,9,9,608.500,187.500,608.500,187.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,535.500,241.500,535.500,241.500,0,0.000,1,0.000,0.000,NaN
8,0,3,3,489.500,224.500,489.500,224.500,0,0.000,1,0.000,0.000,NaN
9,0,2,2,387.500,234.500,387.500,234.500,0,0.000,1,0.000,0.000,NaN
10,0,9,9,348.500,241.500,348.500,241.500,0,0.000,1,0.000,0.000,NaN
11,0,12,12,180.500,237.500,180.500,237.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,147.500,234.500,147.500,234.500,0,0.000,1,0.000,0.000,NaN
13,0,5,5,98.500,231.500,98.500,231.500,0,0.000,1,0.000,0.000,NaN
14,0,9,9,69.500,231.500,69.500,231.500,0,0.000,1,0.000,0.000,NaN
