 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,45.000,215.000,45.000,215.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,221.500,167.500,221.500,167.500,0,0.000,1,0.000,0.000,NaN
3,0,6,6,264.500,127.500,264.500,127.500,0,0.000,1,0.000,0.000,NaN
4,0,12,12,268.500,173.500,268.500,173.500,0,0.000,1,0.000,0.000,NaN
5,0,10,10,472.500,197.500,472.500,197.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,607.500,177.500,607.500,177.500,0,0.000,1,0.000,0.000,NaN
7,0,0,0,512.500,242.500,512.500,242.500,0,0.000,1,0.000,0.000,NaN
8,0,1,1,467.500,215.500,467.500,215.500,0,0.000,1,0.000,0.000,NaN
9,0,6,6,332.500,230.500,332.500,230.500,0,0.000,1,0.000,0.000,NaN
10,0,6,6,307.500,234.500,307.500,234.500,0,0.000,1,0.000,0.000,NaN
11,0,6,6,198.500,230.500,198.500,230.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,169.500,230.500,169.500,230.500,0,0.000,1,0.000,0.000,NaN
13,0,2,2,117.500,225.500,117.500,225.500,0,0.000,1,0.000,0.000,NaN
14,0,6,6,91.500,225.500,91.500,225.500,0,0.000,1,0.000,0.000,NaN
