 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,8,8,41.000,212.000,41.000,212.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,222.500,180.500,222.500,180.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,264.500,136.500,264.500,136.500,0,0.000,1,0.000,0.000,NaN
4,0,13,13,272.500,183.500,272.500,183.500,0,0.000,1,0.000,0.000,NaN
5,0,15,15,466.500,206.500,466.500,206.500,0,0.000,1,0.000,0.000,NaN
6,0,6,6,597.500,163.500,597.500,163.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,502.500,256.500,502.500,256.500,0,0.000,1,0.000,0.000,NaN
8,0,6,6,458.500,223.500,458.500,223.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,328.500,229.500,328.500,229.500,0,0.000,1,0.000,0.000,NaN
10,0,11,11,301.500,233.500,301.500,233.500,0,0.000,1,0.000,0.000,NaN
11,0,5,5,191.500,233.500,191.500,233.500,0,0.000,1,0.000,0.000,NaN
12,0,5,5,164.500,231.500,164.500,231.500,0,0.000,1,0.000,0.000,NaN
13,0,0,0,116.500,226.500,116.500,226.500,0,0.000,1,0.000,0.000,NaN
14,0,8,8,91.500,226.500,91.500,226.500,0,0.000,1,0.000,0.000,NaN
