 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,10,10,45.000,227.000,45.000,227.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,230.500,183.500,230.500,183.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,270.500,141.500,270.500,141.500,0,0.000,1,0.000,0.000,NaN
4,0,15,15,279.500,189.500,279.500,189.500,0,0.000,1,0.000,0.000,NaN
5,0,15,15,475.500,215.500,475.500,215.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,603.500,178.500,603.500,178.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,515.500,273.500,515.500,273.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,467.500,234.500,467.500,234.500,0,0.000,1,0.000,0.000,NaN
9,0,3,3,346.500,243.500,346.500,243.500,0,0.000,1,0.000,0.000,NaN
10,0,10,10,319.500,247.500,319.500,247.500,0,0.000,1,0.000,0.000,NaN
11,0,10,10,208.500,245.500,208.500,245.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,178.500,241.500,178.500,241.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,120.500,240.500,120.500,240.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,88.500,240.500,88.500,240.500,0,0.000,1,0.000,0.000,NaN
