 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,40.000,227.000,40.000,227.000,0,0.000,1,0.000,0.000,NaN
2,0,4,4,208.500,189.500,208.500,189.500,0,0.000,1,0.000,0.000,NaN
3,0,14,14,261.500,141.500,261.500,141.500,0,0.000,1,0.000,0.000,NaN
4,0,4,4,277.500,187.500,277.500,187.500,0,0.000,1,0.000,0.000,NaN
5,0,6,6,455.500,210.500,455.500,210.500,0,0.000,1,0.000,0.000,NaN
6,0,4,4,596.500,180.500,596.500,180.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,504.500,259.500,504.500,259.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,450.500,229.500,450.500,229.500,0,0.000,1,0.000,0.000,NaN
9,0,4,4,318.500,246.500,318.500,246.500,0,0.000,1,0.000,0.000,NaN
10,0,12,12,299.500,254.500,299.500,254.500,0,0.000,1,0.000,0.000,NaN
11,0,14,14,198.500,247.500,198.500,247.500,0,0.000,1,0.000,0.000,NaN
12,0,10,10,159.500,240.500,159.500,240.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,114.500,240.500,114.500,240.500,0,0.000,1,0.000,0.000,NaN
14,0,4,4,80.500,237.500,80.500,237.500,0,0.000,1,0.000,0.000,NaN
