 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,0,0,48.000,222.000,48.000,222.000,0,0.000,1,0.000,0.000,NaN
2,0,14,14,218.500,180.500,218.500,180.500,0,0.000,1,0.000,0.000,NaN
3,0,12,12,267.500,142.500,267.500,142.500,0,0.000,1,0.000,0.000,NaN
4,0,0,0,266.500,185.500,266.500,185.500,0,0.000,1,0.000,0.000,NaN
5,0,0,0,457.500,211.500,457.500,211.500,0,0.000,1,0.000,0.000,NaN
6,0,1,1,599.500,176.500,599.500,176.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,501.500,261.500,501.500,261.500,0,0.000,1,0.000,0.000,NaN
8,0,11,11,449.500,227.500,449.500,227.500,0,0.000,1,0.000,0.000,NaN
9,0,5,5,313.500,241.500,313.500,241.500,0,0.000,1,0.000,0.000,NaN
10,0,2,2,297.500,243.500,297.500,243.500,0,0.000,1,0.000,0.000,NaN
11,0,10,10,195.500,241.500,195.500,241.500,0,0.000,1,0.000,0.000,NaN
12,0,12,12,161.500,237.500,161.500,237.500,0,0.000,1,0.000,0.000,NaN
13,0,2,2,111.500,237.500,111.500,237.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,92.500,237.500,92.500,237.500,0,0.000,1,0.000,0.000,NaN
