 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,0,0,45.000,217.000,45.000,217.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,213.500,176.500,213.500,176.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,265.500,136.500,265.500,136.500,0,0.000,1,0.000,0.000,NaN
4,0,5,5,273.500,184.500,273.500,184.500,0,0.000,1,0.000,0.000,NaN
5,0,3,3,467.500,211.500,467.500,211.500,0,0.000,1,0.000,0.000,NaN
6,0,2,2,597.500,167.500,597.500,167.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,513.500,266.500,513.500,266.500,0,0.000,1,0.000,0.000,NaN
8,0,14,14,463.500,233.500,463.500,233.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,328.500,248.500,328.500,248.500,0,0.000,1,0.000,0.000,NaN
10,0,3,3,301.500,246.500,301.500,246.500,0,0.000,1,0.000,0.000,NaN
11,0,8,8,189.500,243.500,189.500,243.500,0,0.000,1,0.000,0.000,NaN
12,0,14,14,156.500,243.500,156.500,243.500,0,0.000,1,0.000,0.000,NaN
13,0,13,13,108.500,234.500,108.500,234.500,0,0.000,1,0.000,0.000,NaN
14,0,11,11,83.500,234.500,83.500,234.500,0,0.000,1,0.000,0.000,NaN
