 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,0,0,44.000,232.000,44.000,232.000,0,0.000,1,0.000,0.000,NaN
2,0,5,5,213.500,180.500,213.500,180.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,262.500,143.500,262.500,143.500,0,0.000,1,0.000,0.000,NaN
4,0,10,10,264.500,187.500,264.500,187.500,0,0.000,1,0.000,0.000,NaN
5,0,0,0,454.500,213.500,454.500,213.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,599.500,168.500,599.500,168.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,502.500,256.500,502.500,256.500,0,0.000,1,0.000,0.000,NaN
8,0,12,12,454.500,234.500,454.500,234.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,319.500,244.500,319.500,244.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,293.500,244.500,293.500,244.500,0,0.000,1,0.000,0.000,NaN
11,0,3,3,189.500,238.500,189.500,238.500,0,0.000,1,0.000,0.000,NaN
12,0,12,12,158.500,242.500,158.500,242.500,0,0.000,1,0.000,0.000,NaN
13,0,12,12,114.500,236.500,114.500,236.500,0,0.000,1,0.000,0.000,NaN
14,0,12,12,90.500,240.500,90.500,240.500,0,0.000,1,0.000,0.000,NaN
