 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,46.000,226.000,46.000,226.000,0,0.000,1,0.000,0.000,NaN
2,0,2,2,298.500,176.500,298.500,176.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,348.500,139.500,348.500,139.500,0,0.000,1,0.000,0.000,NaN
4,0,4,4,357.500,183.500,357.500,183.500,0,0.000,1,0.000,0.000,NaN
5,0,0,0,488.500,205.500,488.500,205.500,0,0.000,1,0.000,0.000,NaN
6,0,0,0,595.500,106.500,595.500,106.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,548.500,285.500,548.500,285.500,0,0.000,1,0.000,0.000,NaN
8,0,4,4,491.500,228.500,491.500,228.500,0,0.000,1,0.000,0.000,NaN
9,0,4,4,361.500,238.500,361.500,238.500,0,0.000,1,0.000,0.000,NaN
10,0,4,4,331.500,245.500,331.500,245.500,0,0.000,1,0.000,0.000,NaN
11,0,4,4,192.500,248.500,192.500,248.500,0,0.000,1,0.000,0.000,NaN
12,0,4,4,151.500,242.500,151.500,242.500,0,0.000,1,0.000,0.000,NaN
13,0,0,0,66.000,235.750,66.000,235.750,0,0.000,1,0.000,0.000,NaN
14,0,4,4,52.000,232.750,52.000,232.750,0,0.000,1,0.000,0.000,NaN
