 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,47.000,207.000,47.000,207.000,0,0.000,1,0.000,0.000,NaN
2,0,4,4,282.500,170.500,282.500,170.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,333.500,151.500,333.500,151.500,0,0.000,1,0.000,0.000,NaN
4,0,14,14,314.500,180.500,314.500,180.500,0,0.000,1,0.000,0.000,NaN
5,0,4,4,475.500,199.500,475.500,199.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,597.500,189.500,597.500,189.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,522.500,225.500,522.500,225.500,0,0.000,1,0.000,0.000,NaN
8,0,9,9,483.500,213.500,483.500,213.500,0,0.000,1,0.000,0.000,NaN
9,0,12,12,291.500,223.500,291.500,223.500,0,0.000,1,0.000,0.000,NaN
10,0,4,4,256.500,227.500,256.500,227.500,0,0.000,1,0.000,0.000,NaN
11,0,4,4,178.500,221.500,178.500,221.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,143.500,221.500,143.500,221.500,0,0.000,1,0.000,0.000,NaN
13,0,4,4,94.500,221.500,94.500,221.500,0,0.000,1,0.000,0.000,NaN
14,0,7,7,84.500,221.500,84.500,221.500,0,0.000,1,0.000,0.000,NaN
