 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,6,6,40.000,213.000,40.000,213.000,0,0.000,1,0.000,0.000,NaN
2,0,6,6,311.500,188.500,311.500,188.500,0,0.000,1,0.000,0.000,NaN
3,0,6,6,355.500,161.500,355.500,161.500,0,0.000,1,0.000,0.000,NaN
4,0,6,6,338.500,189.500,338.500,189.500,0,0.000,1,0.000,0.000,NaN
5,0,2,2,483.500,194.500,483.500,194.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,594.500,181.500,594.500,181.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,522.500,228.500,522.500,228.500,0,0.000,1,0.000,0.000,NaN
8,0,1,1,468.500,211.500,468.500,211.500,0,0.000,1,0.000,0.000,NaN
9,0,12,12,290.500,223.500,290.500,223.500,0,0.000,1,0.000,0.000,NaN
10,0,10,10,255.500,228.500,255.500,228.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,157.500,231.500,157.500,231.500,0,0.000,1,0.000,0.000,NaN
12,0,3,3,122.500,228.500,122.500,228.500,0,0.000,1,0.000,0.000,NaN
13,0,12,12,78.500,227.500,78.500,227.500,0,0.000,1,0.000,0.000,NaN
14,0,1,1,65.500,225.500,65.500,225.500,0,0.000,1,0.000,0.000,NaN
