 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,2,2,46.000,217.000,46.000,217.000,0,0.000,1,0.000,0.000,NaN
2,0,9,9,321.500,183.500,321.500,183.500,0,0.000,1,0.000,0.000,NaN
3,0,3,3,368.500,155.500,368.500,155.500,0,0.000,1,0.000,0.000,NaN
4,0,13,13,363.500,184.500,363.500,184.500,0,0.000,1,0.000,0.000,NaN
5,0,4,4,488.500,191.500,488.500,191.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,601.500,181.500,601.500,181.500,0,0.000,1,0.000,0.000,NaN
7,0,4,4,523.500,221.500,523.500,221.500,0,0.000,1,0.000,0.000,NaN
8,0,14,14,473.500,209.500,473.500,209.500,0,0.000,1,0.000,0.000,NaN
9,0,8,8,304.500,215.500,304.500,215.500,0,0.000,1,0.000,0.000,NaN
10,0,13,13,277.500,228.500,277.500,228.500,0,0.000,1,0.000,0.000,NaN
11,0,3,3,171.500,230.500,171.500,230.500,0,0.000,1,0.000,0.000,NaN
12,0,13,13,140.500,235.500,140.500,235.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,91.500,225.500,91.500,225.500,0,0.000,1,0.000,0.000,NaN
14,0,13,13,71.500,228.500,71.500,228.500,0,0.000,1,0.000,0.000,NaN
