 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,40.000,225.000,40.000,225.000,0,0.000,1,0.000,0.000,NaN
2,0,12,12,241.500,176.500,241.500,176.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,295.500,137.500,295.500,137.500,0,0.000,1,0.000,0.000,NaN
4,0,8,8,296.500,180.500,296.500,180.500,0,0.000,1,0.000,0.000,NaN
5,0,6,6,462.500,208.500,462.500,208.500,0,0.000,1,0.000,0.000,NaN
6,0,12,12,595.500,189.500,595.500,189.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,498.500,251.500,498.500,251.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,452.500,231.500,452.500,231.500,0,0.000,1,0.000,0.000,NaN
9,0,8,8,321.500,239.500,321.500,239.500,0,0.000,1,0.000,0.000,NaN
10,0,5,5,297.500,244.500,297.500,244.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,203.500,233.500,203.500,233.500,0,0.000,1,0.000,0.000,NaN
12,0,12,12,167.500,237.500,167.500,237.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,112.500,233.500,112.500,233.500,0,0.000,1,0.000,0.000,NaN
14,0,12,12,95.500,232.500,95.500,232.500,0,0.000,1,0.000,0.000,NaN
