 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,43.000,202.000,43.000,202.000,0,0.000,1,0.000,0.000,NaN
2,0,9,9,233.500,166.500,233.500,166.500,0,0.000,1,0.000,0.000,NaN
3,0,9,9,303.500,159.500,303.500,159.500,0,0.000,1,0.000,0.000,NaN
4,0,15,15,290.500,176.500,290.500,176.500,0,0.000,1,0.000,0.000,NaN
5,0,0,0,499.500,197.500,499.500,197.500,0,0.000,1,0.000,0.000,NaN
6,0,0,0,601.500,165.500,601.500,165.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,555.500,246.500,555.500,246.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,481.500,216.500,481.500,216.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,404.500,221.500,404.500,221.500,0,0.000,1,0.000,0.000,NaN
10,0,14,14,361.500,232.500,361.500,232.500,0,0.000,1,0.000,0.000,NaN
11,0,1,1,206.500,215.500,206.500,215.500,0,0.000,1,0.000,0.000,NaN
12,0,0,0,169.500,202.500,169.500,202.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,121.500,211.500,121.500,211.500,0,0.000,1,0.000,0.000,NaN
14,0,9,9,93.500,221.500,93.500,221.500,0,0.000,1,0.000,0.000,NaN
