 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,41.000,208.000,41.000,208.000,0,0.000,1,0.000,0.000,NaN
2,0,3,3,191.500,168.500,191.500,168.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,265.500,124.500,265.500,124.500,0,0.000,1,0.000,0.000,NaN
4,0,3,3,265.500,179.500,265.500,179.500,0,0.000,1,0.000,0.000,NaN
5,0,8,8,489.500,199.500,489.500,199.500,0,0.000,1,0.000,0.000,NaN
6,0,10,10,595.500,187.500,595.500,187.500,0,0.000,1,0.000,0.000,NaN
7,0,9,9,529.500,233.500,529.500,233.500,0,0.000,1,0.000,0.000,NaN
8,0,7,7,488.500,217.500,488.500,217.500,0,0.000,1,0.000,0.000,NaN
9,0,4,4,320.500,225.500,320.500,225.500,0,0.000,1,0.000,0.000,NaN
10,0,11,11,285.500,229.500,285.500,229.500,0,0.000,1,0.000,0.000,NaN
11,0,7,7,162.500,222.500,162.500,222.500,0,0.000,1,0.000,0.000,NaN
12,0,11,11,133.500,220.500,133.500,220.500,0,0.000,1,0.000,0.000,NaN
13,0,11,11,74.500,217.500,74.500,217.500,0,0.000,1,0.000,0.000,NaN
14,0,11,11,64.500,217.500,64.500,217.500,0,0.000,1,0.000,0.000,NaN
