 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,7,7,26.000,108.000,26.000,108.000,0,0.000,1,0.000,0.000,NaN
2,0,6,6,323.500,76.500,323.500,76.500,0,0.000,1,0.000,0.000,NaN
3,0,8,8,371.500,51.500,371.500,51.500,0,0.000,1,0.000,0.000,NaN
4,0,6,6,366.500,82.500,366.500,82.500,0,0.000,1,0.000,0.000,NaN
5,0,7,7,505.500,95.500,505.500,95.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,613.500,69.500,613.500,69.500,0,0.000,1,0.000,0.000,NaN
7,0,11,11,546.500,125.500,546.500,125.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,504.500,117.500,504.500,117.500,0,0.000,1,0.000,0.000,NaN
9,0,8,8,310.500,117.500,310.500,117.500,0,0.000,1,0.000,0.000,NaN
10,0,7,7,263.500,129.500,263.500,129.500,0,0.000,1,0.000,0.000,NaN
11,0,6,6,170.500,128.500,170.500,128.500,0,0.000,1,0.000,0.000,NaN
12,0,7,7,135.500,124.500,135.500,124.500,0,0.000,1,0.000,0.000,NaN
13,0,12,12,80.500,121.500,80.500,121.500,0,0.000,1,0.000,0.000,NaN
14,0,6,6,57.500,121.500,57.500,121.500,0,0.000,1,0.000,0.000,NaN
