 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,29.000,174.000,29.000,174.000,0,0.000,1,0.000,0.000,NaN
2,0,4,4,229.500,150.500,229.500,150.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,298.500,124.500,298.500,124.500,0,0.000,1,0.000,0.000,NaN
4,0,3,3,288.500,150.500,288.500,150.500,0,0.000,1,0.000,0.000,NaN
5,0,1,1,473.500,169.500,473.500,169.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,594.500,169.500,594.500,169.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,517.500,230.500,517.500,230.500,0,0.000,1,0.000,0.000,NaN
8,0,5,5,461.500,192.500,461.500,192.500,0,0.000,1,0.000,0.000,NaN
9,0,1,1,411.500,192.500,411.500,192.500,0,0.000,1,0.000,0.000,NaN
10,0,11,11,356.500,206.500,356.500,206.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,189.500,211.500,189.500,211.500,0,0.000,1,0.000,0.000,NaN
12,0,6,6,154.500,203.500,154.500,203.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,94.500,189.500,94.500,189.500,0,0.000,1,0.000,0.000,NaN
14,0,4,4,68.500,196.500,68.500,196.500,0,0.000,1,0.000,0.000,NaN
