 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,44.000,201.000,44.000,201.000,0,0.000,1,0.000,0.000,NaN
2,0,6,6,325.500,177.500,325.500,177.500,0,0.000,1,0.000,0.000,NaN
3,0,0,0,381.500,146.500,381.500,146.500,0,0.000,1,0.000,0.000,NaN
4,0,6,6,372.500,181.500,372.500,181.500,0,0.000,1,0.000,0.000,NaN
5,0,0,0,492.500,189.500,492.500,189.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,603.500,179.500,603.500,179.500,0,0.000,1,0.000,0.000,NaN
7,0,1,1,532.500,224.500,532.500,224.500,0,0.000,1,0.000,0.000,NaN
8,0,4,4,482.500,210.500,482.500,210.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,329.500,217.500,329.500,217.500,0,0.000,1,0.000,0.000,NaN
10,0,9,9,286.500,227.500,286.500,227.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,179.500,220.500,179.500,220.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,145.500,220.500,145.500,220.500,0,0.000,1,0.000,0.000,NaN
13,0,10,10,84.500,212.500,84.500,212.500,0,0.000,1,0.000,0.000,NaN
14,0,4,4,63.500,214.500,63.500,214.500,0,0.000,1,0.000,0.000,NaN
