 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,5,5,46.000,203.000,46.000,203.000,0,0.000,1,0.000,0.000,NaN
2,0,11,11,322.500,184.500,322.500,184.500,0,0.000,1,0.000,0.000,NaN
3,0,8,8,361.500,157.500,361.500,157.500,0,0.000,1,0.000,0.000,NaN
4,0,14,14,359.500,183.500,359.500,183.500,0,0.000,1,0.000,0.000,NaN
5,0,7,7,502.500,185.500,502.500,185.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,592.500,168.500,592.500,168.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,518.500,223.500,518.500,223.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,475.500,206.500,475.500,206.500,0,0.000,1,0.000,0.000,NaN
9,0,13,13,319.500,218.500,319.500,218.500,0,0.000,1,0.000,0.000,NaN
10,0,3,3,267.500,232.500,267.500,232.500,0,0.000,1,0.000,0.000,NaN
11,0,14,14,161.500,220.500,161.500,220.500,0,0.000,1,0.000,0.000,NaN
12,0,11,11,139.500,225.500,139.500,225.500,0,0.000,1,0.000,0.000,NaN
13,0,13,13,83.500,218.500,83.500,218.500,0,0.000,1,0.000,0.000,NaN
14,0,0,0,74.500,220.500,74.500,220.500,0,0.000,1,0.000,0.000,NaN
