 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,39.000,195.000,39.000,195.000,0,0.000,1,0.000,0.000,NaN
2,0,13,13,279.500,157.500,279.500,157.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,340.500,167.500,340.500,167.500,0,0.000,1,0.000,0.000,NaN
4,0,15,15,312.500,167.500,312.500,167.500,0,0.000,1,0.000,0.000,NaN
5,0,12,12,501.500,182.500,501.500,182.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,597.500,131.500,597.500,131.500,0,0.000,1,0.000,0.000,NaN
7,0,7,7,561.500,236.500,561.500,236.500,0,0.000,1,0.000,0.000,NaN
8,0,5,5,502.500,203.500,502.500,203.500,0,0.000,1,0.000,0.000,NaN
9,0,4,4,423.500,217.500,423.500,217.500,0,0.000,1,0.000,0.000,NaN
10,0,5,5,388.500,222.500,388.500,222.500,0,0.000,1,0.000,0.000,NaN
11,0,7,7,206.500,220.500,206.500,220.500,0,0.000,1,0.000,0.000,NaN
12,0,6,6,181.500,210.500,181.500,210.500,0,0.000,1,0.000,0.000,NaN
13,0,5,5,107.500,201.500,107.500,201.500,0,0.000,1,0.000,0.000,NaN
14,0,8,8,84.500,206.500,84.500,206.500,0,0.000,1,0.000,0.000,NaN
