 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,45.000,207.000,45.000,207.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,261.500,154.500,261.500,154.500,0,0.000,1,0.000,0.000,NaN
3,0,7,7,300.500,132.500,300.500,132.500,0,0.000,1,0.000,0.000,NaN
4,0,0,0,308.500,158.500,308.500,158.500,0,0.000,1,0.000,0.000,NaN
5,0,6,6,522.500,191.500,522.500,191.500,0,0.000,1,0.000,0.000,NaN
6,0,2,2,604.500,158.500,604.500,158.500,0,0.000,1,0.000,0.000,NaN
7,0,3,3,574.500,245.500,574.500,245.500,0,0.000,1,0.000,0.000,NaN
8,0,9,9,516.500,211.500,516.500,211.500,0,0.000,1,0.000,0.000,NaN
9,0,11,11,453.500,215.500,453.500,215.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,422.500,228.500,422.500,228.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,199.500,218.500,199.500,218.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,169.500,231.500,169.500,231.500,0,0.000,1,0.000,0.000,NaN
13,0,0,0,95.750,220.500,95.750,220.500,0,0.000,1,0.000,0.000,NaN
14,0,1,1,83.750,224.500,83.750,224.500,0,0.000,1,0.000,0.000,NaN
