 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,1,1,45.000,228.000,45.000,228.000,0,0.000,1,0.000,0.000,NaN
2,0,8,8,205.500,182.500,205.500,182.500,0,0.000,1,0.000,0.000,NaN
3,0,2,2,267.500,104.500,267.500,104.500,0,0.000,1,0.000,0.000,NaN
4,0,1,1,262.500,182.500,262.500,182.500,0,0.000,1,0.000,0.000,NaN
5,0,15,15,441.500,209.500,441.500,209.500,0,0.000,1,0.000,0.000,NaN
6,0,5,5,603.500,152.500,603.500,152.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,483.500,281.500,483.500,281.500,0,0.000,1,0.000,0.000,NaN
8,0,12,12,436.500,235.500,436.500,235.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,338.500,246.500,338.500,246.500,0,0.000,1,0.000,0.000,NaN
10,0,5,5,304.500,252.500,304.500,252.500,0,0.000,1,0.000,0.000,NaN
11,0,0,0,196.500,251.500,196.500,251.500,0,0.000,1,0.000,0.000,NaN
12,0,6,6,167.500,251.500,167.500,251.500,0,0.000,1,0.000,0.000,NaN
13,0,11,11,110.500,233.500,110.500,233.500,0,0.000,1,0.000,0.000,NaN
14,0,12,12,84.500,238.500,84.500,238.500,0,0.000,1,0.000,0.000,NaN
