 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,1,1,47.000,232.000,47.000,232.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,212.500,181.500,212.500,181.500,0,0.000,1,0.000,0.000,NaN
3,0,5,5,285.500,124.500,285.500,124.500,0,0.000,1,0.000,0.000,NaN
4,0,15,15,273.500,186.500,273.500,186.500,0,0.000,1,0.000,0.000,NaN
5,0,15,15,458.500,215.500,458.500,215.500,0,0.000,1,0.000,0.000,NaN
6,0,12,12,599.500,142.500,599.500,142.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,499.500,278.500,499.500,278.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,455.500,242.500,455.500,242.500,0,0.000,1,0.000,0.000,NaN
9,0,4,4,334.500,249.500,334.500,249.500,0,0.000,1,0.000,0.000,NaN
10,0,7,7,292.500,253.500,292.500,253.500,0,0.000,1,0.000,0.000,NaN
11,0,7,7,199.500,257.500,199.500,257.500,0,0.000,1,0.000,0.000,NaN
12,0,5,5,166.500,253.500,166.500,253.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,104.500,241.500,104.500,241.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,89.500,240.500,89.500,240.500,0,0.000,1,0.000,0.000,NaN
