 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,49.000,227.000,49.000,227.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,186.500,183.500,186.500,183.500,0,0.000,1,0.000,0.000,NaN
3,0,1,1,259.500,91.500,259.500,91.500,0,0.000,1,0.000,0.000,NaN
4,0,7,7,242.500,184.500,242.500,184.500,0,0.000,1,0.000,0.000,NaN
5,0,7,7,431.500,206.500,431.500,206.500,0,0.000,1,0.000,0.000,NaN
6,0,4,4,604.500,151.500,604.500,151.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,487.500,277.500,487.500,277.500,0,0.000,1,0.000,0.000,NaN
8,0,8,8,429.500,234.500,429.500,234.500,0,0.000,1,0.000,0.000,NaN
9,0,0,0,310.500,240.500,310.500,240.500,0,0.000,1,0.000,0.000,NaN
10,0,9,9,282.500,249.500,282.500,249.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,180.500,244.500,180.500,244.500,0,0.000,1,0.000,0.000,NaN
12,0,12,12,152.500,243.500,152.500,243.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,89.500,237.500,89.500,237.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,78.500,239.500,78.500,239.500,0,0.000,1,0.000,0.000,NaN
