 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,12,12,38.000,217.000,38.000,217.000,0,0.000,1,0.000,0.000,NaN
2,0,5,5,218.500,170.500,218.500,170.500,0,0.000,1,0.000,0.000,NaN
3,0,12,12,282.500,100.500,282.500,100.500,0,0.000,1,0.000,0.000,NaN
4,0,10,10,267.500,169.500,267.500,169.500,0,0.000,1,0.000,0.000,NaN
5,0,5,5,451.500,201.500,451.500,201.500,0,0.000,1,0.000,0.000,NaN
6,0,6,6,601.500,153.500,601.500,153.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,493.500,254.500,493.500,254.500,0,0.000,1,0.000,0.000,NaN
8,0,12,12,446.500,224.500,446.500,224.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,333.500,234.500,333.500,234.500,0,0.000,1,0.000,0.000,NaN
10,0,4,4,301.500,241.500,301.500,241.500,0,0.000,1,0.000,0.000,NaN
11,0,14,14,193.500,240.500,193.500,240.500,0,0.000,1,0.000,0.000,NaN
12,0,12,12,157.500,236.500,157.500,236.500,0,0.000,1,0.000,0.000,NaN
13,0,0,0,112.500,220.500,112.500,220.500,0,0.000,1,0.000,0.000,NaN
14,0,4,4,89.500,225.500,89.500,225.500,0,0.000,1,0.000,0.000,NaN
