 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,8,8,40.000,222.000,40.000,222.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,200.500,176.500,200.500,176.500,0,0.000,1,0.000,0.000,NaN
3,0,11,11,248.500,94.500,248.500,94.500,0,0.000,1,0.000,0.000,NaN
4,0,10,10,257.500,174.500,257.500,174.500,0,0.000,1,0.000,0.000,NaN
5,0,10,10,435.500,207.500,435.500,207.500,0,0.000,1,0.000,0.000,NaN
6,0,11,11,591.500,168.500,591.500,168.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,478.500,272.500,478.500,272.500,0,0.000,1,0.000,0.000,NaN
8,0,14,14,433.500,234.500,433.500,234.500,0,0.000,1,0.000,0.000,NaN
9,0,7,7,312.500,240.500,312.500,240.500,0,0.000,1,0.000,0.000,NaN
10,0,10,10,277.500,247.500,277.500,247.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,194.500,232.500,194.500,232.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,163.500,240.500,163.500,240.500,0,0.000,1,0.000,0.000,NaN
13,0,7,7,107.500,226.500,107.500,226.500,0,0.000,1,0.000,0.000,NaN
14,0,10,10,90.500,228.500,90.500,228.500,0,0.000,1,0.000,0.000,NaN
