 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,3,3,28.000,208.000,28.000,208.000,0,0.000,1,0.000,0.000,NaN
2,0,14,14,187.500,166.500,187.500,166.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,255.500,101.500,255.500,101.500,0,0.000,1,0.000,0.000,NaN
4,0,14,14,242.500,165.500,242.500,165.500,0,0.000,1,0.000,0.000,NaN
5,0,15,15,443.500,208.500,443.500,208.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,613.500,168.500,613.500,168.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,499.500,266.500,499.500,266.500,0,0.000,1,0.000,0.000,NaN
8,0,11,11,442.500,229.500,442.500,229.500,0,0.000,1,0.000,0.000,NaN
9,0,3,3,324.500,231.500,324.500,231.500,0,0.000,1,0.000,0.000,NaN
10,0,13,13,301.500,234.500,301.500,234.500,0,0.000,1,0.000,0.000,NaN
11,0,14,14,182.500,229.500,182.500,229.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,156.500,227.500,156.500,227.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,92.500,219.500,92.500,219.500,0,0.000,1,0.000,0.000,NaN
14,0,14,14,73.500,224.500,73.500,224.500,0,0.000,1,0.000,0.000,NaN
