 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,46.000,206.000,46.000,206.000,0,0.000,1,0.000,0.000,NaN
2,0,8,8,228.500,172.500,228.500,172.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,278.500,142.500,278.500,142.500,0,0.000,1,0.000,0.000,NaN
4,0,11,11,271.500,175.500,271.500,175.500,0,0.000,1,0.000,0.000,NaN
5,0,0,0,493.500,196.500,493.500,196.500,0,0.000,1,0.000,0.000,NaN
6,0,0,0,599.500,156.500,599.500,156.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,543.500,235.500,543.500,235.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,495.500,215.500,495.500,215.500,0,0.000,1,0.000,0.000,NaN
9,0,5,5,370.500,220.500,370.500,220.500,0,0.000,1,0.000,0.000,NaN
10,0,14,14,335.500,223.500,335.500,223.500,0,0.000,1,0.000,0.000,NaN
11,0,5,5,191.500,221.500,191.500,221.500,0,0.000,1,0.000,0.000,NaN
12,0,4,4,155.500,218.500,155.500,218.500,0,0.000,1,0.000,0.000,NaN
13,0,13,13,110.500,217.500,110.500,217.500,0,0.000,1,0.000,0.000,NaN
14,0,3,3,95.500,220.500,95.500,220.500,0,0.000,1,0.000,0.000,NaN
