 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,7,7,41.000,186.000,41.000,186.000,0,0.000,1,0.000,0.000,NaN
2,0,12,12,235.500,140.833,235.500,140.833,0,0.000,1,0.000,0.000,NaN
3,0,12,12,287.500,102.167,287.500,102.167,0,0.000,1,0.000,0.000,NaN
4,0,10,10,300.167,146.167,300.167,146.167,0,0.000,1,0.000,0.000,NaN
5,0,8,8,516.167,180.167,516.167,180.167,0,0.000,1,0.000,0.000,NaN
6,0,15,15,606.167,146.167,606.167,146.167,0,0.000,1,0.000,0.000,NaN
7,0,15,15,566.167,218.167,566.167,218.167,0,0.000,1,0.000,0.000,NaN
8,0,15,15,518.167,198.167,518.167,198.167,0,0.000,1,0.000,0.000,NaN
9,0,12,12,387.500,202.167,387.500,202.167,0,0.000,1,0.000,0.000,NaN
10,0,4,4,364.833,210.167,364.833,210.167,0,0.000,1,0.000,0.000,NaN
11,0,9,9,184.833,204.167,184.833,204.167,0,0.000,1,0.000,0.000,NaN
12,0,12,12,155.500,202.833,155.500,202.833,0,0.000,1,0.000,0.000,NaN
13,0,15,15,92.167,199.500,92.167,199.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,81.500,203.500,81.500,203.500,0,0.000,1,0.000,0.000,NaN
