 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,163,163,292.000,321.000,292.000,321.000,0,0.000,1,0.000,0.000,NaN
2,0,78,78,928.833,392.833,928.833,392.833,0,0.000,1,0.000,0.000,NaN
3,0,164,164,998.167,351.500,998.167,351.500,0,0.000,1,0.000,0.000,NaN
4,0,51,51,970.167,403.500,970.167,403.500,0,0.000,1,0.000,0.000,NaN
5,0,103,103,1139.500,466.167,1139.500,466.167,0,0.000,1,0.000,0.000,NaN
6,0,211,211,1275.500,416.833,1275.500,416.833,0,0.000,1,0.000,0.000,NaN
7,0,130,130,1259.500,608.833,1259.500,608.833,0,0.000,1,0.000,0.000,NaN
8,0,143,143,1134.167,494.167,1134.167,494.167,0,0.000,1,0.000,0.000,NaN
9,0,42,42,839.500,428.833,839.500,428.833,0,0.000,1,0.000,0.000,NaN
10,0,75,75,667.500,428.833,667.500,428.833,0,0.000,1,0.000,0.000,NaN
11,0,64,64,576.833,402.167,576.833,402.167,0,0.000,1,0.000,0.000,NaN
12,0,85,85,440.833,372.833,440.833,372.833,0,0.000,1,0.000,0.000,NaN
13,0,102,102,312.833,362.167,312.833,362.167,0,0.000,1,0.000,0.000,NaN
14,0,189,189,298.167,350.167,298.167,350.167,0,0.000,1,0.000,0.000,NaN
