 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,42.000,201.000,42.000,201.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,231.500,159.500,231.500,159.500,0,0.000,1,0.000,0.000,NaN
3,0,3,3,268.500,122.500,268.500,122.500,0,0.000,1,0.000,0.000,NaN
4,0,15,15,271.500,161.500,271.500,161.500,0,0.000,1,0.000,0.000,NaN
5,0,3,3,501.500,196.500,501.500,196.500,0,0.000,1,0.000,0.000,NaN
6,0,6,6,600.500,148.500,600.500,148.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,538.500,247.500,538.500,247.500,0,0.000,1,0.000,0.000,NaN
8,0,3,3,500.500,209.500,500.500,209.500,0,0.000,1,0.000,0.000,NaN
9,0,11,11,350.500,220.500,350.500,220.500,0,0.000,1,0.000,0.000,NaN
10,0,2,2,324.500,229.500,324.500,229.500,0,0.000,1,0.000,0.000,NaN
11,0,13,13,185.500,221.500,185.500,221.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,158.500,217.500,158.500,217.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,110.500,213.500,110.500,213.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,99.500,214.500,99.500,214.500,0,0.000,1,0.000,0.000,NaN
