 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,42.000,185.000,42.000,185.000,0,0.000,1,0.000,0.000,NaN
2,0,1,1,256.500,169.500,256.500,169.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,313.500,162.500,313.500,162.500,0,0.000,1,0.000,0.000,NaN
4,0,0,0,287.500,167.500,287.500,167.500,0,0.000,1,0.000,0.000,NaN
5,0,12,12,537.500,199.500,537.500,199.500,0,0.000,1,0.000,0.000,NaN
6,0,6,6,602.500,164.500,602.500,164.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,593.500,241.500,593.500,241.500,0,0.000,1,0.000,0.000,NaN
8,0,6,6,532.500,210.500,532.500,210.500,0,0.000,1,0.000,0.000,NaN
9,0,0,0,456.500,213.500,456.500,213.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,419.500,223.500,419.500,223.500,0,0.000,1,0.000,0.000,NaN
11,0,6,6,212.500,224.500,212.500,224.500,0,0.000,1,0.000,0.000,NaN
12,0,11,11,198.500,203.500,198.500,203.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,137.500,213.500,137.500,213.500,0,0.000,1,0.000,0.000,NaN
14,0,7,7,113.500,223.500,113.500,223.500,0,0.000,1,0.000,0.000,NaN
