 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,12,12,41.000,208.000,41.000,208.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,203.500,173.500,203.500,173.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,260.500,123.500,260.500,123.500,0,0.000,1,0.000,0.000,NaN
4,0,12,12,252.500,171.500,252.500,171.500,0,0.000,1,0.000,0.000,NaN
5,0,4,4,498.500,201.500,498.500,201.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,602.500,146.500,602.500,146.500,0,0.000,1,0.000,0.000,NaN
7,0,6,6,547.500,250.500,547.500,250.500,0,0.000,1,0.000,0.000,NaN
8,0,9,9,494.500,218.500,494.500,218.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,343.500,227.500,343.500,227.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,310.500,235.500,310.500,235.500,0,0.000,1,0.000,0.000,NaN
11,0,12,12,196.500,236.500,196.500,236.500,0,0.000,1,0.000,0.000,NaN
12,0,5,5,167.500,234.500,167.500,234.500,0,0.000,1,0.000,0.000,NaN
13,0,3,3,114.500,228.500,114.500,228.500,0,0.000,1,0.000,0.000,NaN
14,0,12,12,103.500,233.500,103.500,233.500,0,0.000,1,0.000,0.000,NaN
