 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,0,0,47.000,213.000,47.000,213.000,0,0.000,1,0.000,0.000,NaN
2,0,13,13,196.500,173.500,196.500,173.500,0,0.000,1,0.000,0.000,NaN
3,0,6,6,253.500,134.500,253.500,134.500,0,0.000,1,0.000,0.000,NaN
4,0,4,4,258.500,180.500,258.500,180.500,0,0.000,1,0.000,0.000,NaN
5,0,3,3,485.500,209.500,485.500,209.500,0,0.000,1,0.000,0.000,NaN
6,0,14,14,599.500,164.500,599.500,164.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,539.500,263.500,539.500,263.500,0,0.000,1,0.000,0.000,NaN
8,0,12,12,487.500,226.500,487.500,226.500,0,0.000,1,0.000,0.000,NaN
9,0,7,7,340.500,233.500,340.500,233.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,318.500,243.500,318.500,243.500,0,0.000,1,0.000,0.000,NaN
11,0,14,14,193.500,232.500,193.500,232.500,0,0.000,1,0.000,0.000,NaN
12,0,4,4,165.500,232.500,165.500,232.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,113.500,227.500,113.500,227.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,99.500,232.500,99.500,232.500,0,0.000,1,0.000,0.000,NaN
