 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,148,148,150.000,500.000,150.000,500.000,0,0.000,1,0.000,0.000,NaN
2,0,153,153,1077.500,487.500,1077.500,487.500,0,0.000,1,0.000,0.000,NaN
3,0,150,150,1147.500,415.500,1147.500,415.500,0,0.000,1,0.000,0.000,NaN
4,0,159,159,1141.500,495.500,1141.500,495.500,0,0.000,1,0.000,0.000,NaN
5,0,139,139,1361.500,501.500,1361.500,501.500,0,0.000,1,0.000,0.000,NaN
6,0,133,133,1471.500,389.500,1471.500,389.500,0,0.000,1,0.000,0.000,NaN
7,0,142,142,1529.500,595.500,1529.500,595.500,0,0.000,1,0.000,0.000,NaN
8,0,175,175,1373.500,539.500,1373.500,539.500,0,0.000,1,0.000,0.000,NaN
9,0,169,169,1003.500,551.500,1003.500,551.500,0,0.000,1,0.000,0.000,NaN
10,0,200,200,763.500,587.500,763.500,587.500,0,0.000,1,0.000,0.000,NaN
11,0,137,137,583.500,549.500,583.500,549.500,0,0.000,1,0.000,0.000,NaN
12,0,152,152,365.500,529.500,365.500,529.500,0,0.000,1,0.000,0.000,NaN
13,0,134,134,185.500,533.500,185.500,533.500,0,0.000,1,0.000,0.000,NaN
14,0,158,158,165.500,527.500,165.500,527.500,0,0.000,1,0.000,0.000,NaN
