 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,51.000,214.000,51.000,214.000,0,0.000,1,0.000,0.000,NaN
2,0,0,0,284.500,189.500,284.500,189.500,0,0.000,1,0.000,0.000,NaN
3,0,6,6,353.500,161.500,353.500,161.500,0,0.000,1,0.000,0.000,NaN
4,0,15,15,359.500,201.500,359.500,201.500,0,0.000,1,0.000,0.000,NaN
5,0,5,5,462.500,208.500,462.500,208.500,0,0.000,1,0.000,0.000,NaN
6,0,0,0,588.500,209.500,588.500,209.500,0,0.000,1,0.000,0.000,NaN
7,0,4,4,487.500,242.500,487.500,242.500,0,0.000,1,0.000,0.000,NaN
8,0,5,5,438.500,229.500,438.500,229.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,299.500,233.500,299.500,233.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,265.500,240.500,265.500,240.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,194.500,237.500,194.500,237.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,161.500,237.500,161.500,237.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,80.500,230.500,80.500,230.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,59.500,225.500,59.500,225.500,0,0.000,1,0.000,0.000,NaN
