 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,11,11,42.000,195.000,42.000,195.000,0,0.000,1,0.000,0.000,NaN
2,0,11,11,242.500,162.500,242.500,162.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,299.500,117.500,299.500,117.500,0,0.000,1,0.000,0.000,NaN
4,0,11,11,304.500,165.500,304.500,165.500,0,0.000,1,0.000,0.000,NaN
5,0,11,11,481.500,188.500,481.500,188.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,597.500,150.500,597.500,150.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,535.500,242.500,535.500,242.500,0,0.000,1,0.000,0.000,NaN
8,0,4,4,478.500,209.500,478.500,209.500,0,0.000,1,0.000,0.000,NaN
9,0,1,1,337.500,215.500,337.500,215.500,0,0.000,1,0.000,0.000,NaN
10,0,11,11,308.500,222.500,308.500,222.500,0,0.000,1,0.000,0.000,NaN
11,0,0,0,171.500,214.500,171.500,214.500,0,0.000,1,0.000,0.000,NaN
12,0,11,11,143.500,226.500,143.500,226.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,76.500,213.500,76.500,213.500,0,0.000,1,0.000,0.000,NaN
14,0,11,11,62.500,205.500,62.500,205.500,0,0.000,1,0.000,0.000,NaN
