 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,6,6,47.000,233.000,47.000,233.000,0,0.000,1,0.000,0.000,NaN
2,0,12,12,210.500,195.500,210.500,195.500,0,0.000,1,0.000,0.000,NaN
3,0,2,2,269.500,154.500,269.500,154.500,0,0.000,1,0.000,0.000,NaN
4,0,0,0,269.500,195.500,269.500,195.500,0,0.000,1,0.000,0.000,NaN
5,0,5,5,474.500,215.500,474.500,215.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,594.500,187.500,594.500,187.500,0,0.000,1,0.000,0.000,NaN
7,0,12,12,519.500,252.500,519.500,252.500,0,0.000,1,0.000,0.000,NaN
8,0,1,1,470.500,232.500,470.500,232.500,0,0.000,1,0.000,0.000,NaN
9,0,12,12,336.500,241.500,336.500,241.500,0,0.000,1,0.000,0.000,NaN
10,0,14,14,302.500,242.500,302.500,242.500,0,0.000,1,0.000,0.000,NaN
11,0,12,12,175.500,235.500,175.500,235.500,0,0.000,1,0.000,0.000,NaN
12,0,9,9,145.500,237.500,145.500,237.500,0,0.000,1,0.000,0.000,NaN
13,0,2,2,87.500,242.500,87.500,242.500,0,0.000,1,0.000,0.000,NaN
14,0,5,5,76.500,241.500,76.500,241.500,0,0.000,1,0.000,0.000,NaN
