 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,44.000,213.000,44.000,213.000,0,0.000,1,0.000,0.000,NaN
2,0,0,0,207.500,166.500,207.500,166.500,0,0.000,1,0.000,0.000,NaN
3,0,11,11,267.500,128.500,267.500,128.500,0,0.000,1,0.000,0.000,NaN
4,0,11,11,272.500,174.500,272.500,174.500,0,0.000,1,0.000,0.000,NaN
5,0,9,9,478.500,201.500,478.500,201.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,599.500,199.500,599.500,199.500,0,0.000,1,0.000,0.000,NaN
7,0,13,13,520.500,239.500,520.500,239.500,0,0.000,1,0.000,0.000,NaN
8,0,12,12,476.500,218.500,476.500,218.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,314.500,218.500,314.500,218.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,281.500,226.500,281.500,226.500,0,0.000,1,0.000,0.000,NaN
11,0,2,2,178.500,230.500,178.500,230.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,142.500,226.500,142.500,226.500,0,0.000,1,0.000,0.000,NaN
13,0,2,2,81.500,225.500,81.500,225.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,66.500,224.500,66.500,224.500,0,0.000,1,0.000,0.000,NaN
